RRi,RRii,RRi_interp,RRii_interp,freqs,periodogram,low_power,high_power,activitytype_daytime,activitytype,activitytype_interp,activitytype_daytime_interp,steps_daytime,steps,steps_interp,steps_daytime_interp,hr_daytime,hr,hr_interp,hr_daytime_interp,rMSSD,pNN50,Median,gt180,act_silent_percentage,act_walking_percentage,act_running_percentage,act_nonWear_percentage,act_REM_percentage,act_NREM_percentage,act_charging_percentage,act_undefined_percentage,act_silent_percentage_allday,act_walking_percentage_allday,act_running_percentage_allday,act_nonWear_percentage_allday,act_REM_percentage_allday,act_NREM_percentage_allday,act_charging_percentage_allday,act_undefined_percentage_allday
68,67,79,79,0.015635564,5644.242851,,,17.92805556,4,4,17.92805556,17.92805556,0,0,17.92805556,25.03771,68,79,17.92805556,,,,,,,,,,,,,,,,,,,,
67,66,79,79,0.015684568,5657.869615,,,17.94472222,5,5,17.94472222,17.94472222,0,0,17.94472222,25.03858806,67,79,17.94472222,,,,,,,,,,,,,,,,,,,,
66,79,79,79,0.015733573,5671.555923,,,17.96138889,4,4,17.96138889,17.96138889,0,0,17.96138889,25.03961111,66,79,17.96138889,,,,,,,,,,,,,,,,,,,,
79,69,79,79,0.015782578,5685.301902,,,17.97805556,4,4,17.97805556,17.97805556,0,0,17.97805556,25.08247944,79,79,17.97805556,,,,,,,,,,,,,,,,,,,,
69,65,79,79,0.015831583,5699.107678,,,17.99472222,4,4,17.99472222,17.99472222,0,0,17.99472222,25.08486222,69,79,17.99472222,,,,,,,,,,,,,,,,,,,,
65,64,79,79,0.015880588,5712.973379,,,18.01138889,5,5,18.01138889,18.01138889,0,0,18.01138889,25.08487917,65,79,18.01138889,,,,,,,,,,,,,,,,,,,,
64,63,79,79,0.015929593,5726.899132,,,18.02805556,5,5,18.02805556,18.02805556,0,0,18.02805556,25.08489083,64,79,18.02805556,,,,,,,,,,,,,,,,,,,,
63,67,79,79,0.015978598,5740.885063,,,18.04472222,5,5,18.04472222,18.04472222,0,0,18.04472222,25.08489944,63,79,18.04472222,,,,,,,,,,,,,,,,,,,,
67,71,79,79,0.016027603,5754.9313,,,18.06138889,5,5,18.06138889,18.06138889,0,0,18.06138889,25.08491083,67,79,18.06138889,,,,,,,,,,,,,,,,,,,,
71,72,79,79,0.016076608,5769.037969,,,18.07805556,4,4,18.07805556,18.07805556,0,0,18.07805556,25.08492083,71,79,18.07805556,,,,,,,,,,,,,,,,,,,,
72,73,79,79,0.016125613,5783.205195,,,18.09472222,5,5,18.09472222,18.09472222,0,0,18.09472222,25.08493333,72,79,18.09472222,,,,,,,,,,,,,,,,,,,,
73,72,79,79,0.016174617,5797.433106,,,18.11138889,5,5,18.11138889,18.11138889,0,0,18.11138889,25.08501444,73,79,18.11138889,,,,,,,,,,,,,,,,,,,,
72,79,79,79,0.016223622,5811.721826,,,18.12805556,5,5,18.12805556,18.12805556,0,0,18.12805556,25.08669111,72,79,18.12805556,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016272627,5826.071482,,,18.14472222,5,5,18.14472222,18.14472222,0,0,18.14472222,25.15509694,79,79,18.14472222,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016321632,5840.482199,,,18.16138889,5,5,18.16138889,18.16138889,0,0,18.16138889,25.156905,79,79,18.16138889,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016370637,5854.954102,,,18.17805556,5,5,18.17805556,18.17805556,0,0,18.17805556,25.1569375,79,79,18.17805556,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016419642,5869.487316,,,18.19472222,4,4,18.19472222,18.19472222,0,0,18.19472222,25.15695194,79,79,18.19472222,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016468647,5884.081967,,,18.21138889,5,5,18.21138889,18.21138889,0,0,18.21138889,25.15696389,79,79,18.21138889,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016517652,5898.738178,,,18.22805556,5,5,18.22805556,18.22805556,0,0,18.22805556,25.15706306,79,79,18.22805556,,,,,,,,,,,,,,,,,,,,
79,79,79,79,0.016566657,5913.456074,,,18.24472222,5,5,18.24472222,18.24472222,0,0,18.24472222,25.15735722,79,79,18.24472222,,,,,,,,,,,,,,,,,,,,
